,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,kapaa,US,1609820074,22.08,-159.32,75.2,78,40,10.29
1,mataura,NZ,1609819777,-46.19,168.86,58.37,87,100,0.89
2,coihaique,CL,1609819908,-45.58,-72.07,51.8,66,0,3.36
3,porto santo,PT,1609820074,33.07,-16.34,64.4,77,40,10.29
4,albany,US,1609819827,42.6,-73.97,34.0,87,97,2.48
5,ushuaia,AR,1609819818,-54.8,-68.3,51.8,53,75,3.36
6,hobart,AU,1609819926,-42.88,147.33,73.99,52,40,12.75
7,ostrovnoy,RU,1609820075,68.05,39.51,11.37,94,50,11.18
8,cap malheureux,MU,1609820075,-19.98,57.61,81.0,73,10,5.99
9,kruisfontein,ZA,1609819812,-34.0,24.73,71.01,95,98,4.0
10,bredasdorp,ZA,1609820075,-34.53,20.04,68.0,82,100,10.29
11,bilibino,RU,1609820075,68.05,166.44,-31.61,81,99,2.82
12,jalu,LY,1609820075,29.03,21.55,52.32,78,2,12.39
13,richards bay,ZA,1609820075,-28.78,32.04,74.05,92,100,9.06
14,pascagoula,US,1609820075,30.37,-88.56,55.4,93,20,8.52
15,vaini,TO,1609819822,-21.2,-175.2,82.4,83,75,13.87
16,newport,GB,1609819874,51.59,-3.0,39.0,87,71,3.0
17,meulaboh,ID,1609819918,4.14,96.13,85.39,59,45,4.63
18,houma,US,1609820075,29.6,-90.72,57.0,100,1,5.61
19,nouadhibou,MR,1609820076,20.93,-17.03,68.5,64,78,10.65
20,kefalos,GR,1609820076,36.75,26.96,59.0,77,40,11.41
21,rikitea,PF,1609819786,-23.12,-134.97,77.07,71,1,17.31
22,ponta do sol,PT,1609819782,32.67,-17.1,64.4,72,40,5.82
23,new norfolk,AU,1609820076,-42.78,147.06,75.0,38,79,1.01
24,nokaneng,BW,1609820076,-19.67,22.27,69.57,75,13,5.01
25,airai,TL,1609820076,-8.93,125.41,71.26,88,94,2.35
26,leningradskiy,RU,1609820076,69.38,178.42,-5.91,87,100,6.91
27,batsfjord,NO,1609820076,70.63,29.72,28.4,86,75,13.87
28,victoria,HK,1609819911,22.29,114.16,69.01,47,42,1.01
29,faanui,PF,1609819808,-16.48,-151.75,81.12,74,100,16.31
30,butaritari,KI,1609820076,3.07,172.79,82.17,77,100,18.7
31,castro,BR,1609819793,-24.79,-50.01,60.58,97,73,4.79
32,cabo san lucas,MX,1609820076,22.89,-109.91,64.4,59,5,5.82
33,port elizabeth,ZA,1609820076,-33.92,25.57,71.6,100,75,8.05
34,saint anthony,US,1609820076,45.02,-93.22,32.0,80,1,8.05
35,havoysund,NO,1609820076,71.0,24.66,39.2,86,75,14.99
36,saint-pierre,RE,1609820077,-21.34,55.48,78.8,78,90,21.92
37,manyana,BW,1609820077,-23.4,21.72,71.8,65,55,7.58
38,kakamega,KE,1609820077,0.28,34.75,50.0,87,0,8.05
39,kavaratti,IN,1609820077,10.57,72.64,82.4,74,40,4.7
40,kaeo,NZ,1609820077,-35.1,173.78,72.91,58,21,8.55
41,atuona,PF,1609820077,-9.8,-139.03,78.44,77,93,16.73
42,jinchang,CN,1609820077,38.5,102.17,13.98,73,0,1.45
43,cherskiy,RU,1609820077,68.75,161.3,-28.37,85,87,6.55
44,fortuna,US,1609820077,40.6,-124.16,45.0,100,90,5.82
45,haines junction,CA,1609820077,60.75,-137.51,6.55,90,100,1.74
46,bluff,NZ,1609819778,-46.6,168.33,55.22,90,99,3.18
47,busselton,AU,1609820077,-33.65,115.33,82.99,35,0,5.01
48,zheleznodorozhnyy,RU,1609820077,55.75,38.0,28.4,100,90,4.47
49,zile,TR,1609820077,40.3,35.89,30.2,92,0,3.67
50,upernavik,GL,1609820077,72.79,-56.15,18.54,88,100,35.34
51,bengkulu,ID,1609819871,-3.8,102.27,85.42,66,48,7.81
52,port alfred,ZA,1609820077,-33.59,26.89,73.99,95,74,3.0
53,elliot lake,CA,1609820077,46.38,-82.63,33.8,86,90,10.29
54,ilulissat,GL,1609820078,69.22,-51.1,8.64,94,99,2.71
55,dawei,MM,1609820078,14.08,98.2,88.0,43,72,4.9
56,los llanos de aridane,ES,1609820078,28.66,-17.92,69.8,60,75,5.82
57,kapoeta,SS,1609820078,4.77,33.59,77.54,46,15,11.59
58,lompoc,US,1609820078,34.64,-120.46,55.99,93,90,4.7
59,punta arenas,CL,1609820078,-53.15,-70.92,51.8,57,44,9.17
60,khilok,RU,1609820078,51.37,110.47,-20.7,78,100,12.08
61,east london,ZA,1609820078,-33.02,27.91,73.4,83,0,8.05
62,hamilton,US,1609820000,39.18,-84.53,35.6,92,75,2.24
63,longyearbyen,SJ,1609820078,78.22,15.64,30.2,86,90,46.08
64,malakal,SS,1609820078,9.53,31.66,73.2,31,25,6.46
65,san cristobal,VE,1609820078,7.77,-72.22,62.17,91,63,1.72
66,sabang,ID,1609820078,5.89,95.32,79.25,82,99,11.92
67,mount gambier,AU,1609820078,-37.83,140.77,62.6,63,90,19.46
68,srivardhan,IN,1609820078,18.03,73.02,78.15,66,62,3.94
69,corn island,NI,1609820078,12.17,-83.04,80.69,72,19,14.54
70,thompson,CA,1609820078,55.74,-97.86,-5.8,83,75,3.69
71,amol,IR,1609820079,36.47,52.35,43.48,80,100,4.16
72,porto murtinho,BR,1609820079,-21.7,-57.88,72.01,95,99,3.13
73,carnarvon,AU,1609820079,-24.87,113.63,89.6,46,0,12.75
74,vardo,NO,1609820079,70.37,31.11,28.4,86,75,13.87
75,katsuura,JP,1609819935,35.13,140.3,51.01,47,100,3.0
76,beian,NO,1609820079,63.66,9.57,26.6,86,40,14.99
77,tshikapa,CD,1609820079,-6.42,20.8,70.45,90,97,1.74
78,palmer,US,1609820079,42.16,-72.33,28.99,100,90,3.09
79,dudinka,RU,1609820045,69.41,86.18,-13.0,75,90,17.9
80,cape town,ZA,1609820079,-33.93,18.42,69.01,93,75,23.04
81,zeerust,ZA,1609820079,-25.54,26.08,66.2,88,75,6.93
82,qaanaaq,GL,1609820079,77.48,-69.36,-4.22,74,77,4.9
83,tiksi,RU,1609819809,71.69,128.87,-13.97,89,99,10.58
84,male,MV,1609820079,4.17,73.51,78.8,94,90,6.93
85,lotofaga,WS,1609820079,-13.98,-171.86,86.0,79,75,8.05
86,urusha,RU,1609820079,54.05,122.9,-15.16,77,83,5.44
87,ancud,CL,1609820079,-41.87,-73.82,53.01,71,0,11.41
88,hami,CN,1609820079,42.8,93.45,12.09,75,0,6.33
89,chokurdakh,RU,1609820079,70.63,147.92,-25.29,85,51,11.05
90,monroe,US,1609820078,43.15,-77.68,35.01,86,90,4.7
91,clyde river,CA,1609820079,70.47,-68.59,-20.2,75,1,4.7
92,jamestown,US,1609820080,42.1,-79.24,32.0,100,90,3.36
93,sahibganj,IN,1609820080,25.25,87.65,75.52,34,95,3.38
94,kallithea,GR,1609820080,37.95,23.7,55.99,87,20,8.57
95,grindavik,IS,1609820080,63.84,-22.43,33.8,71,75,8.05
96,pisco,PE,1609820080,-13.7,-76.22,69.8,88,0,10.29
97,padang,ID,1609820080,-0.95,100.35,89.6,55,20,6.93
98,ribeira grande,PT,1609820080,38.52,-28.7,61.81,85,100,28.01
99,hermanus,ZA,1609820080,-34.42,19.23,68.0,89,100,9.6
100,cayenne,GF,1609820080,4.93,-52.33,75.2,100,0,9.19
101,yeppoon,AU,1609820080,-23.13,150.73,89.6,49,75,6.93
102,port lincoln,AU,1609819951,-34.73,135.87,63.75,63,95,19.39
103,quatre cocos,MU,1609820080,-20.21,57.76,81.0,69,40,11.41
104,mont-dore,NC,1609820080,-22.28,166.58,91.4,66,65,3.36
105,bambous virieux,MU,1609820080,-20.34,57.76,81.0,69,40,11.41
106,okhotsk,RU,1609820080,59.38,143.3,-4.27,91,100,13.15
107,coquimbo,CL,1609819912,-29.95,-71.34,59.0,87,7,3.36
108,devils lake,US,1609819885,48.11,-98.87,21.2,85,1,11.41
109,bandar-e lengeh,IR,1609820080,26.56,54.88,55.4,47,0,6.93
110,khani,GE,1609820081,41.96,42.96,50.0,29,0,36.91
111,ambulu,ID,1609820081,-8.35,113.61,85.14,69,97,5.19
112,the valley,AI,1609820041,18.22,-63.06,77.0,83,75,6.93
113,cidreira,BR,1609820081,-30.18,-50.21,73.72,78,100,19.28
114,atbasar,KZ,1609820081,51.8,68.33,-6.86,87,100,8.25
115,omboue,GA,1609820081,-1.57,9.26,76.71,88,37,5.88
116,salamanca,ES,1609820081,40.83,-6.0,26.01,100,90,2.04
117,narsaq,GL,1609820081,60.92,-46.05,28.4,58,100,2.24
118,severo-kurilsk,RU,1609819789,50.68,156.12,19.87,91,76,22.95
119,cobija,BO,1609820081,-11.03,-68.77,73.11,96,100,2.48
120,north bend,US,1609820081,43.41,-124.22,48.99,93,75,6.93
121,alice springs,AU,1609819850,-23.7,133.88,77.0,64,75,8.05
122,tuktoyaktuk,CA,1609820081,69.45,-133.04,-14.8,75,90,12.75
123,menongue,AO,1609820081,-14.66,17.69,60.82,86,100,4.81
124,yar-sale,RU,1609820081,66.83,70.83,-14.42,88,2,12.91
125,palm beach,US,1609820081,26.65,-80.45,59.0,77,0,6.6
126,constitucion,CL,1609820081,-35.33,-72.42,58.19,62,12,6.87
127,samarai,PG,1609819838,-10.62,150.67,86.7,69,98,13.31
128,puerto ayora,EC,1609820082,-0.74,-90.35,71.01,91,45,7.85
129,suoyarvi,RU,1609820082,62.08,32.35,13.26,97,94,4.05
130,ostrovskoye,RU,1609820082,57.81,42.24,23.11,98,100,3.83
131,avarua,CK,1609820082,-21.21,-159.78,82.4,69,29,14.99
132,taoudenni,ML,1609820082,22.68,-3.98,64.72,24,74,6.13
133,awbari,LY,1609820082,26.59,12.78,49.71,62,71,6.49
134,havelock,US,1609819842,34.88,-76.9,42.01,100,1,2.21
135,provideniya,RU,1609820082,64.38,-173.3,-3.05,86,0,12.55
136,xuddur,SO,1609820082,4.12,43.89,67.96,69,31,19.35
137,dikson,RU,1609819787,73.51,80.55,2.88,94,100,25.93
138,mahebourg,MU,1609820082,-20.41,57.7,80.6,69,40,11.41
139,saint-philippe,RE,1609820082,-21.36,55.77,78.8,78,90,21.92
140,riyadh,SA,1609820082,24.69,46.72,53.6,71,0,3.36
141,poum,NC,1609819843,-20.23,164.02,81.99,82,67,10.13
142,ipu,BR,1609820082,-4.32,-40.71,74.34,77,0,6.53
143,hilo,US,1609819784,19.73,-155.09,77.0,69,90,6.93
144,canoinhas,BR,1609820082,-26.18,-50.39,62.89,98,99,2.59
145,ayan,RU,1609820083,56.45,138.17,-16.69,76,22,13.65
146,soe,ID,1609820083,-9.86,124.28,81.68,72,86,5.12
147,bezhanitsy,RU,1609820083,56.98,29.89,28.89,99,100,5.5
148,bethel,US,1609819814,41.37,-73.41,30.99,94,90,3.62
149,mchinji,MW,1609820083,-13.8,32.88,63.34,98,75,2.57
150,esperance,AU,1609819827,-33.87,121.9,71.6,43,40,14.99
151,lata,PT,1609820083,40.16,-8.33,39.0,92,0,3.18
152,skjervoy,NO,1609820083,70.03,20.97,43.54,81,100,12.75
153,isangel,VU,1609820083,-19.55,169.27,82.4,83,90,6.93
154,goderich,CA,1609820083,43.75,-81.72,32.0,92,100,6.93
155,verkhoyansk,RU,1609820083,67.54,133.38,-39.12,77,34,1.74
156,tuatapere,NZ,1609820083,-46.13,167.68,57.67,83,99,1.68
157,yanam,IN,1609820083,16.73,82.22,73.4,73,67,6.93
158,xalpatlahuac,MX,1609820083,17.47,-98.62,59.54,77,5,3.96
159,sorland,NO,1609820083,67.67,12.69,41.95,93,100,26.26
160,kodiak,US,1609820083,57.79,-152.41,33.8,96,90,8.05
161,anloga,GH,1609820083,5.79,0.9,77.0,78,20,3.36
162,klyuchi,RU,1609820083,52.27,79.17,-18.54,87,99,8.41
163,luderitz,NA,1609820083,-26.65,15.16,68.0,88,57,5.82
164,pangnirtung,CA,1609820083,66.15,-65.71,-21.6,80,92,1.57
165,kapustin yar,RU,1609820083,48.58,45.74,25.86,93,100,13.49
166,sioux lookout,CA,1609820083,50.1,-91.92,30.2,92,90,4.7
167,leshan,CN,1609820084,29.56,103.76,51.67,59,100,2.68
168,dakar,SN,1609820084,14.69,-17.44,69.8,94,0,9.17
169,aktau,KZ,1609820084,43.65,51.2,12.2,78,0,8.95
170,ilebo,CD,1609820084,-4.32,20.58,68.88,95,100,1.25
171,nanortalik,GL,1609820084,60.14,-45.24,28.04,97,99,8.28
172,polunochnoye,RU,1609820084,60.87,60.42,-4.47,93,99,2.42
173,oranjestad,AW,1609819785,12.52,-70.03,75.2,94,75,9.17
174,bulgan,MN,1609820084,48.81,103.53,-19.46,81,100,6.22
175,hithadhoo,MV,1609819856,-0.6,73.08,83.08,74,100,17.45
176,zhezkazgan,KZ,1609820084,47.8,67.71,-0.94,87,96,8.79
177,hovd,MN,1609820084,48.01,91.64,-2.99,69,0,1.52
178,westport,US,1609819893,41.14,-73.36,35.01,80,1,4.7
179,vila velha,BR,1609820028,-20.33,-40.29,77.0,88,75,9.17
180,muroto,JP,1609820084,33.28,134.15,48.2,82,75,6.93
181,senneterre,CA,1609820084,48.38,-77.23,28.4,92,90,6.93
182,penugonda,IN,1609820084,16.67,81.73,73.4,73,31,6.93
183,lasa,IT,1609820084,46.62,10.7,30.0,85,20,1.45
184,bartica,GY,1609820084,6.4,-58.62,73.4,100,40,4.7
185,kailua,US,1609820084,21.4,-157.74,80.6,69,20,11.41
186,mar del plata,AR,1609820084,-38.0,-57.56,66.99,100,90,13.87
187,narsingi,IN,1609820085,18.03,78.43,72.0,73,20,6.93
188,aklavik,CA,1609819812,68.22,-135.01,-11.2,76,100,5.82
189,tekirdag,TR,1609820085,40.98,27.51,51.8,87,75,10.29
190,dunmanway,IE,1609820085,51.72,-9.12,36.0,98,0,13.87
191,kavieng,PG,1609820085,-2.57,150.8,86.13,68,97,11.74
192,khandyga,RU,1609820085,62.67,135.6,-47.51,76,68,0.89
193,kalmunai,LK,1609820085,7.42,81.82,80.15,82,79,5.3
194,norman wells,CA,1609820085,65.28,-126.83,-7.6,63,20,17.22
195,nikolskoye,RU,1609820085,59.7,30.79,27.0,85,40,2.24
196,rosetown,CA,1609820085,51.55,-108.0,17.01,92,53,6.93
197,lagoa,PT,1609820085,39.05,-27.98,60.94,82,100,27.51
198,trairi,BR,1609820085,-3.28,-39.27,79.05,80,74,9.46
199,rocha,UY,1609820085,-34.48,-54.33,67.8,92,51,10.8
200,port hardy,CA,1609819912,50.7,-127.42,42.8,100,75,4.7
201,cabedelo,BR,1609820085,-6.98,-34.83,77.0,88,20,6.93
202,san andres,CO,1609820085,12.58,-81.7,80.6,69,20,6.93
203,ales,FR,1609820085,44.13,4.08,33.01,9,95,1.99
204,tasiilaq,GL,1609820086,65.61,-37.64,14.0,47,1,2.24
205,krasnovishersk,RU,1609820086,60.41,57.08,3.96,94,81,3.24
206,saldanha,ZA,1609820086,-33.01,17.94,62.6,88,51,10.29
207,san borja,BO,1609820086,-14.82,-66.85,74.01,95,100,2.77
208,port-gentil,GA,1609820086,-0.72,8.78,80.65,80,73,11.86
209,panlaitan,PH,1609820086,12.12,119.85,84.65,68,57,7.18
210,luis correia,BR,1609820086,-2.88,-41.67,78.64,82,17,11.39
211,sumbawanga,TZ,1609820086,-7.97,31.62,57.2,100,75,2.06
212,whitehaven,GB,1609820086,54.55,-3.58,30.99,95,45,3.0
213,yunhe,CN,1609820086,34.08,119.72,35.38,79,100,14.79
214,santa cruz,BO,1609820086,-17.8,-63.17,71.6,94,90,3.36
215,asau,RO,1609820086,46.43,26.4,43.0,78,100,6.22
216,beya,RU,1609820086,53.05,90.91,-13.56,87,100,2.55
217,terny,UA,1609820086,50.98,33.98,33.12,92,100,9.66
218,forssa,FI,1609820086,60.81,23.62,19.0,93,100,1.01
219,tafresh,IR,1609820086,34.69,50.01,26.33,87,0,1.36
220,hambantota,LK,1609820086,6.12,81.12,77.0,100,75,2.24
221,sur,OM,1609820087,22.57,59.53,69.06,38,0,12.15
222,buchanan,LR,1609820087,5.88,-10.05,78.94,82,95,3.27
223,broome,US,1609820087,42.25,-75.83,33.01,92,90,3.36
224,mombaca,BR,1609820087,-5.74,-39.63,74.55,78,43,5.77
225,yellowknife,CA,1609820050,62.46,-114.35,-23.01,74,20,8.05
226,tura,IN,1609820087,25.52,90.22,74.53,48,100,2.04
227,rognan,NO,1609820087,67.1,15.39,37.0,89,83,4.25
228,saint george,US,1609819853,37.1,-113.58,46.0,39,1,8.05
229,mnogovershinnyy,RU,1609819827,53.94,139.92,-15.45,89,100,7.63
230,rio grande,BR,1609820042,-32.03,-52.1,73.99,83,18,14.94
231,malmo,SE,1609820087,55.61,13.0,36.0,86,79,16.11
232,san nicolas,PH,1609820087,18.17,120.6,84.2,74,20,12.75
233,asyut,EG,1609820026,27.18,31.18,44.6,75,0,5.44
234,anadyr,RU,1609820087,64.75,177.48,-11.0,69,0,8.95
235,filingue,NE,1609820087,14.35,3.32,74.8,19,0,7.38
236,margate,GB,1609820087,51.38,1.39,41.0,80,100,5.01
237,itarema,BR,1609820087,-2.92,-39.92,84.2,70,20,2.24
238,gat,IL,1609819981,31.61,34.76,53.6,87,0,2.24
239,kuah,MY,1609820088,6.33,99.84,86.0,79,20,11.41
240,barrow,US,1609820088,71.29,-156.79,-16.6,82,90,5.82
241,rock sound,BS,1609820088,24.9,-76.2,75.56,68,0,6.73
242,abu samrah,SY,1609820088,35.3,37.18,49.05,64,69,6.4
243,ballina,AU,1609819831,-28.87,153.57,91.4,66,40,16.11
244,nome,US,1609820035,64.5,-165.41,-2.2,64,1,10.29
245,ofunato,JP,1609820088,39.07,141.72,26.6,79,75,1.12
246,san patricio,US,1609820088,28.02,-97.52,59.0,100,40,3.36
247,vaitape,PF,1609820088,-16.52,-151.75,82.0,72,100,16.55
248,billings,US,1609819953,45.78,-108.5,41.0,27,75,6.93
249,kincardine,GB,1609820088,56.07,-3.72,37.4,86,90,6.93
250,bangkal,PH,1609820088,6.07,121.07,83.21,74,70,3.56
251,tianpeng,CN,1609820088,30.99,103.94,53.01,1,84,6.08
252,buraydah,SA,1609820088,26.33,43.98,53.6,100,75,8.05
253,warmbad,NA,1609820088,-28.45,18.73,70.3,80,98,4.34
254,vredendal,ZA,1609820088,-31.67,18.5,68.65,82,100,8.79
255,kieta,PG,1609820088,-6.22,155.63,85.86,61,88,2.08
256,muisne,EC,1609820088,0.6,-80.03,75.15,84,93,10.27
257,salym,RU,1609820088,60.06,71.48,-18.24,86,82,5.97
258,loiza,PR,1609820089,18.43,-65.88,73.4,88,90,5.82
259,huarmey,PE,1609820089,-10.07,-78.15,70.38,82,100,5.86
260,qaqortoq,GL,1609820089,60.72,-46.03,28.4,58,100,2.24
261,onda,ES,1609820089,39.97,-0.25,34.0,86,0,3.36
262,fujin,CN,1609820089,47.26,132.03,-1.48,81,0,11.83
263,torbay,CA,1609820089,47.67,-52.73,33.01,100,90,16.11
264,garwa,IN,1609820089,24.18,83.82,73.58,43,94,2.55
265,guarapuava,BR,1609820089,-25.4,-51.46,60.49,89,100,2.57
266,arraial do cabo,BR,1609820089,-22.97,-42.03,73.4,94,0,5.82
267,sao joao da barra,BR,1609820089,-21.64,-41.05,75.13,90,40,15.57
268,popondetta,PG,1609820089,-8.75,148.25,90.91,53,76,7.47
269,sitka,US,1609819842,57.05,-135.33,41.0,65,90,20.8
270,andenes,NO,1609820089,69.31,16.12,39.99,86,100,16.11
271,hualmay,PE,1609820089,-11.1,-77.61,70.02,82,100,5.5
272,port blair,IN,1609820089,11.67,92.75,84.2,74,40,9.17
273,lebu,CL,1609819795,-37.62,-73.65,55.33,82,0,18.95
274,batemans bay,AU,1609819843,-35.72,150.18,80.01,75,83,3.0
275,touros,BR,1609820089,-5.2,-35.46,78.8,78,40,8.05
276,urumqi,CN,1609820089,43.8,87.6,-11.2,83,75,2.24
277,kirakira,SB,1609820090,-10.45,161.92,86.99,55,99,4.45
278,georgetown,MY,1609820090,5.41,100.34,84.0,78,40,9.17
279,valley,US,1609819909,45.13,-116.13,37.0,86,90,3.36
280,moshupa,BW,1609820090,-24.78,25.42,68.0,82,0,5.82
281,lulea,SE,1609820090,65.58,22.15,6.8,92,0,3.36
282,cilaos,RE,1609820090,-21.13,55.47,78.8,78,90,21.92
283,nizhneangarsk,RU,1609820090,55.78,109.55,-20.02,80,23,6.11
284,kahului,US,1609820090,20.89,-156.47,80.6,57,40,12.75
285,tahta,EG,1609820090,26.77,31.5,48.2,93,0,4.7
