,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
286,hobyo,SO,1609820090,5.35,48.53,76.44,68,100,19.57
287,birao,CF,1609820090,10.28,22.79,65.73,32,0,5.86
288,marzuq,YE,1609820090,14.4,46.47,56.59,49,0,3.24
289,saskylakh,RU,1609820090,71.92,114.08,0.05,91,100,14.43
290,mongo,TD,1609820090,12.18,18.69,68.02,23,0,5.82
291,hammerfest,NO,1609820090,70.66,23.68,39.2,86,75,14.99
292,loukhi,RU,1609820090,66.08,33.04,7.56,96,44,0.78
293,collie,AU,1609820090,-33.37,116.15,80.01,32,0,5.01
294,kununurra,AU,1609820030,-15.77,128.73,87.8,66,29,8.05
295,owando,CG,1609820091,-0.48,15.9,71.01,91,55,1.72
296,hasaki,JP,1609820091,35.73,140.83,50.0,70,75,4.7
297,baglung,NP,1609820091,28.27,83.59,71.94,23,95,1.66
298,placer,US,1609820091,39.07,-120.77,45.0,95,93,5.01
299,nacala,MZ,1609820091,-14.54,40.67,77.34,86,59,3.78
300,bilma,NE,1609820091,18.69,12.92,67.66,24,0,4.29
301,letterkenny,IE,1609819859,54.95,-7.73,31.69,95,9,2.24
302,prince rupert,CA,1609820091,54.32,-130.32,44.6,70,90,17.22
303,saint-joseph,RE,1609820091,-21.37,55.62,78.8,78,90,21.92
304,maceio,BR,1609819975,-9.67,-35.74,73.4,94,75,3.36
305,adre,TD,1609820091,13.47,22.2,62.47,30,0,10.65
306,husavik,IS,1609820091,66.04,-17.34,37.4,64,40,12.75
307,seoul,KR,1609820067,37.57,126.98,26.6,27,1,4.7
308,falmouth,GB,1609820091,50.15,-5.07,36.0,80,47,16.11
309,ondjiva,AO,1609820091,-17.07,15.73,66.06,60,100,6.46
310,fairbanks,US,1609819531,64.84,-147.72,-9.99,83,20,1.63
311,champerico,GT,1609820091,14.3,-91.92,64.99,97,1,5.73
312,zapolyarnyy,RU,1609820091,69.42,30.81,17.6,92,0,14.99
313,valparaiso,CL,1609820091,-33.04,-71.63,57.2,82,90,5.82
314,pinkafeld,AT,1609820091,47.37,16.12,30.0,98,86,1.92
315,ixtapa,MX,1609819807,20.7,-105.2,68.0,88,5,2.24
316,namibe,AO,1609820092,-15.2,12.15,70.97,76,99,4.07
317,necochea,AR,1609819905,-38.55,-58.74,62.01,93,100,16.37
318,souillac,MU,1609820092,-20.52,57.52,80.6,69,40,11.41
319,birin,NP,1609820092,26.89,88.07,60.55,54,99,3.85
320,fayaoue,NC,1609820092,-20.65,166.53,83.12,76,98,7.9
321,kadiri,IN,1609820092,14.12,78.17,71.58,80,82,5.48
322,alofi,NU,1609819892,-19.06,-169.92,78.8,94,75,1.12
323,chuy,UY,1609820092,-33.7,-53.46,69.67,88,32,11.01
324,northfield,US,1609820060,44.46,-93.16,30.2,86,1,5.82
325,talavera,PH,1609820092,15.62,120.93,86.0,62,75,6.93
326,acapulco,MX,1609820092,16.86,-99.89,78.8,88,5,3.36
327,pokrovsk,UA,1609820092,48.28,37.18,30.51,96,100,13.49
328,arman,RU,1609820092,59.7,150.17,-3.23,81,99,10.42
329,koumac,NC,1609820092,-20.57,164.28,83.55,76,90,4.61
330,guatire,VE,1609820092,10.48,-66.54,75.2,88,40,5.82
331,sakakah,SA,1609819924,29.97,40.21,50.0,81,24,7.0
332,port hedland,AU,1609820093,-20.32,118.57,96.8,30,43,17.22
333,puerto lempira,HN,1609820093,15.27,-83.77,74.7,85,0,6.62
334,veraval,IN,1609820093,20.9,70.37,67.01,51,0,13.13
335,serebryansk,KZ,1609820093,49.69,83.29,-38.2,65,40,3.67
336,luanda,AO,1609819816,-8.84,13.23,77.0,88,40,6.93
337,port said,EG,1609820093,31.26,32.28,60.8,100,5,8.05
338,vao,NC,1609820093,-22.67,167.48,79.29,85,69,24.2
339,quang ngai,VN,1609820093,15.12,108.8,70.16,92,100,5.97
340,belyy yar,RU,1609820093,53.6,91.39,-22.0,67,20,3.15
341,luce,FR,1609820093,48.44,1.46,35.01,93,98,5.01
342,nishihara,JP,1609819941,26.18,127.76,66.2,77,90,14.99
343,burnie,AU,1609820093,-41.07,145.92,70.0,58,71,11.99
344,udachnyy,RU,1609820093,66.42,112.4,-11.2,76,0,6.71
345,kupang,ID,1609820038,-10.17,123.58,86.92,66,99,9.37
346,idil,TR,1609820094,37.34,41.89,39.11,67,100,5.84
347,khatanga,RU,1609820094,71.97,102.5,-10.19,89,89,16.73
348,luba,GQ,1609820094,3.46,8.55,77.0,100,20,4.7
349,dzilam gonzalez,MX,1609820094,21.28,-88.93,71.33,93,86,6.26
350,jiwani,PK,1609820094,25.05,61.74,59.18,32,0,12.77
351,komsomolskiy,UZ,1609820094,40.43,71.72,19.4,85,75,1.5
352,tezu,IN,1609820094,27.92,96.17,75.63,22,5,3.02
353,mandalgovi,MN,1609820094,45.76,106.27,-15.34,80,74,16.98
354,sidrolandia,BR,1609820094,-20.93,-54.96,68.0,94,75,9.17
355,gewane,ET,1609820094,10.17,40.65,67.69,58,88,4.25
356,bandarbeyla,SO,1609820094,9.49,50.81,73.17,67,74,17.65
357,mongu,ZM,1609820094,-15.25,23.13,65.39,96,47,5.23
358,port augusta,AU,1609820095,-32.5,137.77,82.0,56,40,18.34
359,neosho,US,1609820095,36.87,-94.37,37.99,91,0,6.58
360,port macquarie,AU,1609820095,-31.43,152.92,86.0,54,22,1.99
361,boyolangu,ID,1609820095,-8.12,111.89,86.36,63,91,4.54
362,wageningen,NL,1609820095,51.97,5.67,37.0,93,90,9.17
363,cranbrook,CA,1609820095,49.5,-115.77,32.0,97,90,2.24
364,clive,US,1609820066,41.6,-93.72,32.0,96,1,6.93
365,diofior,SN,1609820095,14.18,-16.67,78.8,31,0,6.93
366,lufilufi,WS,1609820095,-13.87,-171.6,86.0,79,75,8.05
367,jaggayyapeta,IN,1609820013,16.9,80.1,74.64,72,93,5.73
368,muros,ES,1609820095,42.78,-9.06,32.0,96,8,7.07
369,temozon,MX,1609820095,20.8,-88.22,68.36,99,32,2.51
370,sao filipe,CV,1609820095,14.9,-24.5,74.14,79,100,1.7
371,juneau,US,1609819442,58.3,-134.42,36.0,80,90,5.82
372,bubaque,GW,1609819875,11.28,-15.83,79.93,51,0,6.22
373,kharp,RU,1609820095,66.8,65.81,-21.24,86,94,4.18
374,mbeya,TZ,1609820096,-8.9,33.45,59.61,95,91,2.21
375,nemuro,JP,1609820096,43.32,145.57,24.8,32,20,9.17
376,cartagena del chaira,CO,1609820096,1.33,-74.84,72.66,88,70,3.15
377,pemangkat,ID,1609820096,1.17,108.97,82.67,73,100,3.58
378,mackenzie,CA,1609820096,55.3,-123.17,21.2,92,90,3.36
379,sulangan,PH,1609820096,11.14,123.72,81.86,71,100,13.44
380,ugoofaaru,MV,1609820096,5.67,73.0,81.66,80,95,16.15
381,puerto escondido,MX,1609820096,15.85,-97.07,78.8,78,40,4.7
382,kaitangata,NZ,1609819807,-46.28,169.85,57.99,88,100,1.99
383,baghdad,IQ,1609819977,33.34,44.4,42.8,45,0,5.82
384,puerto montt,CL,1609819883,-41.47,-72.94,51.8,76,0,8.05
385,fereydun kenar,IR,1609820096,36.69,52.52,48.16,68,97,9.73
386,vostok,RU,1609819913,46.49,135.88,-4.32,82,53,5.99
387,le port,RE,1609819825,-20.94,55.29,73.4,88,75,5.82
388,korla,CN,1609820096,41.76,86.15,17.73,78,0,6.53
389,maumere,ID,1609820013,-8.62,122.21,84.34,72,97,6.35
390,lincoln,US,1609820088,40.8,-96.67,33.01,79,1,3.36
391,san carlos de bariloche,AR,1609819929,-41.15,-71.31,62.6,20,40,10.29
392,ratnagiri,IN,1609820096,16.98,73.3,79.68,65,5,5.64
393,chicama,PE,1609820096,-7.84,-79.15,69.78,80,100,4.45
394,vung tau,VN,1609820096,10.35,107.08,79.36,76,100,8.16
395,surt,LY,1609820097,31.21,16.59,53.91,45,94,4.99
396,slave lake,CA,1609820097,55.28,-114.77,26.6,68,90,11.41
397,san benito,US,1609820097,36.62,-121.08,53.01,90,62,5.32
398,sumbe,AO,1609820097,-11.21,13.84,75.18,85,73,5.17
399,salalah,OM,1609820097,17.02,54.09,68.0,42,20,10.29
400,nhulunbuy,AU,1609820097,-12.23,136.77,91.4,59,100,12.75
401,trincomalee,LK,1609820097,8.57,81.23,80.28,81,97,3.76
402,kodinsk,RU,1609820097,58.69,99.18,-24.16,81,86,4.52
403,culpeper,US,1609820097,38.5,-77.97,39.2,93,90,2.35
404,vavoua,CI,1609820097,7.38,-6.48,73.42,87,9,4.7
405,ust-kuyga,RU,1609820097,70.02,135.6,-36.36,79,53,8.88
406,koppies,ZA,1609820097,-27.24,27.57,64.87,72,91,6.33
407,inta,RU,1609820097,66.03,60.17,-5.62,91,34,0.49
408,marsh harbour,BS,1609820097,26.54,-77.06,71.65,67,98,12.66
409,gwadar,PK,1609820097,25.12,62.33,60.22,31,0,12.66
410,lysva,RU,1609820097,58.11,57.81,8.28,95,88,4.99
411,geraldton,AU,1609820097,-28.77,114.6,95.0,19,0,28.86
412,ouango,CF,1609820097,4.31,22.56,69.42,76,56,1.79
413,zhigansk,RU,1609820097,66.77,123.37,-40.31,80,67,8.75
414,avera,US,1609820097,33.19,-82.53,39.2,100,1,6.98
415,caravelas,BR,1609820098,-17.71,-39.25,75.99,87,0,7.45
416,teknaf,BD,1609820098,20.86,92.31,78.26,52,54,1.57
417,muramvya,BI,1609819832,-3.27,29.61,54.52,97,3,0.98
418,pahrump,US,1609820098,36.21,-115.98,48.99,40,67,1.99
419,marawi,PH,1609820098,8.0,124.29,84.0,77,99,5.01
420,yulara,AU,1609819877,-25.24,130.99,80.6,30,75,14.99
421,marienburg,PL,1609820098,54.04,19.03,33.01,100,100,10.69
422,amahai,ID,1609820098,-3.33,128.92,85.82,69,82,3.13
423,malindi,KE,1609820098,-3.22,40.12,77.0,83,40,5.82
424,stepnyak,KZ,1609820098,52.83,70.78,-11.81,88,100,13.82
425,kuito,AO,1609820098,-12.38,16.93,60.37,86,100,3.49
426,nikolskiy,RU,1609820098,60.92,34.06,15.08,96,13,3.96
427,snyder,US,1609820098,32.72,-100.92,42.8,60,1,4.43
428,namatanai,PG,1609820098,-3.67,152.43,86.34,62,27,8.08
429,christchurch,NZ,1609819994,-43.53,172.63,64.0,82,100,14.99
430,cap-aux-meules,CA,1609820098,47.38,-61.86,30.2,92,100,16.11
431,binzhou,CN,1609820098,37.37,118.02,32.0,34,30,9.78
432,lavrentiya,RU,1609820099,65.58,-171.0,-7.55,88,13,9.93
433,balkanabat,TM,1609820099,39.51,54.37,39.15,69,100,8.81
434,mahajanga,MG,1609820099,-15.72,46.32,80.6,78,20,4.7
435,ust-nera,RU,1609820099,64.57,143.2,-17.07,79,100,2.46
436,zelenikovo,MK,1609820099,41.89,21.59,41.0,100,90,2.08
437,roma,US,1609820089,43.21,-75.46,33.01,96,90,3.36
438,codrington,AU,1609820099,-38.27,141.97,58.84,83,100,17.09
439,channel-port aux basques,CA,1609820099,47.57,-59.14,31.21,92,100,12.88
440,nador,MA,1609820099,35.17,-2.93,46.4,75,0,4.7
441,amuntai,ID,1609820099,-2.42,115.25,87.1,63,100,4.5
442,lakes entrance,AU,1609820099,-37.88,147.98,66.99,94,100,5.01
443,novo horizonte,BR,1609820100,-21.47,-49.22,71.13,84,85,4.65
444,suhbaatar,MN,1609820100,50.23,106.21,-15.09,72,100,12.59
445,bakaly,RU,1609820100,55.18,53.8,16.43,96,100,9.6
446,conakry,GN,1609820100,9.54,-13.68,80.24,75,0,6.51
447,bathurst,AU,1609819869,-33.42,149.58,80.01,45,10,3.0
448,strijen,NL,1609820100,51.75,4.55,37.0,90,100,5.99
449,mbanza-ngungu,CD,1609820015,-5.25,14.87,68.05,99,93,2.33
450,raudeberg,NO,1609820100,61.99,5.14,30.2,74,72,9.17
451,iqaluit,CA,1609820100,63.75,-68.51,-22.0,67,20,4.7
452,shelburne,CA,1609819844,44.08,-80.2,30.99,95,100,4.38
453,santa isabel do rio negro,BR,1609820100,-0.41,-65.02,72.7,95,51,1.68
454,batavia,US,1609820100,41.85,-88.31,28.0,92,90,5.82
455,la ronge,CA,1609820100,55.1,-105.28,10.4,85,36,3.36
456,mumbwa,ZM,1609820100,-14.98,27.06,64.29,96,92,5.68
457,diu,IN,1609820101,20.71,70.98,69.91,35,0,7.67
458,sri aman,MY,1609820101,1.24,111.46,82.4,78,40,5.82
459,fukue,JP,1609820101,32.69,128.84,51.8,50,75,17.22
460,bhor,IN,1609820065,18.17,73.85,73.0,66,30,6.71
461,byron bay,AU,1609819806,-28.65,153.62,90.0,66,40,16.11
462,sharon,US,1609820101,41.23,-80.49,34.0,86,90,1.7
463,cockburn town,TC,1609820072,21.46,-71.14,76.59,68,0,12.03
464,sweetwater,US,1609820101,25.76,-80.37,66.2,48,90,5.44
465,lardos,GR,1609820103,36.09,28.02,64.99,88,75,9.17
466,ilabaya,PE,1609820103,-17.42,-70.51,61.47,73,69,2.82
467,pevek,RU,1609820105,69.7,170.31,-15.14,89,100,8.05
468,baykit,RU,1609819816,61.67,96.37,-14.89,84,100,3.51
469,saint-francois,FR,1609820106,46.42,3.91,34.0,98,90,3.36
470,cairns,AU,1609820108,-16.92,145.77,87.8,74,75,11.41
471,lazaro cardenas,MX,1609820108,17.96,-102.2,74.41,80,0,4.68
472,hofn,IS,1609820108,64.25,-15.21,36.46,77,54,5.46
473,morondava,MG,1609820108,-20.28,44.28,80.71,79,55,5.14
474,zaliznychne,UA,1609820108,45.75,28.61,47.91,90,100,15.03
475,sidi ali,DZ,1609820108,36.1,0.42,43.48,75,59,5.99
476,katherine,AU,1609820109,-14.47,132.27,91.4,59,57,6.93
477,honningsvag,NO,1609820109,70.98,25.97,39.2,79,75,11.41
478,luganville,VU,1609820109,-15.53,167.17,80.6,88,90,9.17
479,apollonia,GR,1609820109,36.97,24.72,57.99,71,0,1.12
480,castellarano,IT,1609820110,44.51,10.73,39.99,96,97,1.86
481,kumertau,RU,1609820110,52.77,55.78,2.61,93,100,5.46
482,half moon bay,US,1609820110,37.46,-122.43,53.01,93,90,3.38
483,estacion coahuila,MX,1609820110,32.19,-115.0,59.0,36,90,4.7
484,prokhorovka,RU,1609820110,51.04,36.73,30.2,92,90,11.18
485,puerto madryn,AR,1609820110,-42.77,-65.04,58.32,65,0,8.68
486,pitimbu,BR,1609820110,-7.47,-34.81,77.0,88,20,6.93
487,egvekinot,RU,1609820110,66.32,-179.17,-5.15,85,100,11.86
488,plettenberg bay,ZA,1609820110,-34.05,23.37,69.31,92,73,1.72
489,bongor,TD,1609820110,10.28,15.37,67.21,26,0,4.38
490,port-cartier,CA,1609820110,50.03,-66.87,25.0,85,74,4.7
491,tarija,BO,1609820080,-21.54,-64.73,59.43,74,41,0.11
492,beyneu,KZ,1609820111,45.32,55.2,13.15,92,0,10.83
493,nha trang,VN,1609820111,12.25,109.18,77.0,88,40,14.99
494,obihiro,JP,1609820111,42.92,143.2,23.0,41,20,4.7
495,changli,CN,1609820111,39.7,119.15,18.55,58,0,13.35
496,stephenville,US,1609820112,32.22,-98.2,52.0,64,1,4.63
497,pacific grove,US,1609819859,36.62,-121.92,53.6,87,90,6.64
498,baykalsk,RU,1609820112,51.51,104.15,-12.51,86,100,20.56
499,grand-lahou,CI,1609820112,5.14,-5.02,78.24,88,37,9.01
500,rolla,US,1609820092,37.95,-91.77,35.6,96,90,14.99
501,gravdal,NO,1609820112,68.12,13.5,41.77,93,100,24.2
502,bara,NG,1609820112,10.37,10.73,68.14,26,0,4.94
503,vila franca do campo,PT,1609820112,37.72,-25.43,59.0,87,75,14.99
504,port hawkesbury,CA,1609820112,45.62,-61.35,32.0,88,40,14.99
505,bazarnyye mataki,RU,1609820113,54.88,49.93,24.42,98,100,6.69
506,bakchar,RU,1609820113,57.02,82.07,-22.76,86,0,0.85
507,honiara,SB,1609820113,-9.43,159.95,89.6,70,40,9.17
508,lebedinyy,RU,1609820113,58.52,125.52,-28.55,84,100,3.24
509,raga,SS,1609820113,8.46,25.68,65.19,33,0,4.43
510,porbandar,IN,1609820113,21.64,69.61,53.6,87,0,3.36
511,harper,LR,1609820113,4.38,-7.72,78.76,83,73,8.05
512,chengde,CN,1609820113,40.97,117.94,10.4,63,0,6.82
513,bighapur,IN,1609820113,26.35,80.68,64.4,77,75,5.86
514,portel,BR,1609820113,-1.94,-50.82,75.52,93,94,3.36
515,pyaozerskiy,RU,1609820113,65.83,31.17,10.15,96,94,1.32
516,coahuayana,MX,1609820113,18.73,-103.68,73.4,73,5,3.47
517,benalla,AU,1609820113,-36.55,145.98,84.2,28,40,11.41
518,ikalamavony,MG,1609820113,-21.15,46.58,71.31,69,56,3.36
519,salinas,US,1609819947,36.68,-121.66,53.6,87,75,6.93
520,vestmannaeyjar,IS,1609820113,63.44,-20.27,38.08,96,100,7.67
521,nichinan,JP,1609820113,31.6,131.37,50.0,76,75,4.7
522,yabrud,SY,1609820114,33.97,36.66,48.2,57,0,9.17
523,pokhara,NP,1609820114,28.23,83.98,74.32,20,95,2.95
524,chalus,IR,1609820114,36.66,51.42,44.6,87,75,2.24
525,flinders,AU,1609820114,-34.58,150.86,81.0,75,33,3.0
526,waipawa,NZ,1609820114,-41.41,175.52,69.8,73,40,20.8
527,kassala,SD,1609820114,15.45,36.4,64.17,91,22,7.83
528,dosso,NE,1609820114,13.05,3.19,75.38,18,2,8.39
529,qandala,SO,1609820114,11.47,49.87,73.38,62,6,6.29
530,hornepayne,CA,1609820114,49.21,-84.77,31.19,96,100,7.02
531,ugento,IT,1609820114,39.93,18.16,39.2,93,5,3.36
532,kloulklubed,PW,1609820114,7.04,134.26,86.0,74,75,13.87
533,madang,PG,1609819874,-5.22,145.8,85.19,72,90,7.58
534,tabou,CI,1609820115,4.42,-7.35,78.21,85,29,8.46
535,oriximina,BR,1609820115,-1.77,-55.87,76.5,84,98,2.1
536,te anau,NZ,1609820115,-45.42,167.72,55.94,83,93,4.27
537,manaus,BR,1609819843,-3.1,-60.02,78.8,88,0,1.43
538,cozumel,MX,1609820085,20.51,-86.95,71.6,100,90,4.7
539,calaba,PH,1609820115,15.3,120.87,86.0,62,75,6.93
540,trabzon,TR,1609820115,40.92,39.83,51.8,43,0,3.36
541,antalaha,MG,1609820115,-14.9,50.28,78.08,71,11,6.22
542,arcelia,MX,1609820115,18.28,-100.27,71.37,41,0,3.91
543,adrar,MR,1609820115,20.5,-10.07,63.84,38,66,7.74
544,lorengau,PG,1609820115,-2.02,147.27,86.31,67,100,12.19
545,domoni,KM,1609820115,-12.26,44.53,80.76,78,7,9.04
546,kapuskasing,CA,1609820115,49.42,-82.43,32.0,93,90,10.29
547,leh,IN,1609820116,34.17,77.58,18.1,78,100,2.98
548,hermiston,US,1609819927,45.84,-119.29,46.4,65,1,17.22
549,achit,RU,1609820116,56.8,57.9,11.59,96,95,4.45
550,sokolo,ML,1609820116,14.73,-6.12,70.88,21,0,10.33
551,shanhetun,CN,1609820116,44.7,127.2,-3.62,88,0,8.81
552,vila,PT,1609820116,42.03,-8.16,28.99,93,0,4.36
553,alyangula,AU,1609820116,-13.85,136.42,89.6,66,26,6.93
554,ahipara,NZ,1609820116,-35.17,173.17,72.91,62,25,2.33
555,edd,ER,1609820116,13.93,41.69,74.77,57,33,8.97
556,ranong,TH,1609820073,9.97,98.63,86.0,62,20,4.7
557,tayu,ID,1609820116,-6.54,111.05,79.86,85,100,9.84
558,shimoda,JP,1609820116,34.67,138.95,53.6,34,75,14.99
559,beringovskiy,RU,1609820116,63.05,179.32,-8.09,88,57,16.58
560,chastyye,RU,1609820116,57.29,54.97,11.66,95,96,5.7
561,kolomna,RU,1609819924,55.08,38.78,28.4,100,90,4.47
562,chippewa falls,US,1609819801,44.94,-91.39,27.0,92,1,4.7
563,olafsvik,IS,1609820117,64.89,-23.71,38.28,75,100,17.49
564,okha,RU,1609820117,53.57,142.95,-7.47,90,100,26.11
565,vanimo,PG,1609820117,-2.67,141.3,83.93,75,100,6.33
566,san quintin,MX,1609820117,30.48,-115.95,57.4,86,90,11.5
567,marystown,CA,1609820117,47.17,-55.15,31.15,95,100,14.52
568,mocuba,MZ,1609820117,-16.84,36.99,71.56,94,17,3.15
569,grenada,ES,1609820005,37.19,-3.61,32.0,100,100,2.24
570,mehamn,NO,1609820117,71.04,27.85,39.2,78,75,11.41
571,panguipulli,CL,1609820117,-39.63,-72.33,60.8,48,0,11.41
572,quepos,CR,1609819904,9.42,-84.17,69.8,60,0,13.87
